,COMPANY_NAME,REGISTERED_STATE,EMAIL_ADDR
77,APIARY PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,ANDAMANCPC@GMAIL.COM
78,OCEANIC AGRO TECH PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
79,VINOTH FEEDS AND POULTRY PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
80,ILANCE DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,d.umailme@rediffrnail.com
81,GENNEXT MOTORS(ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
82,ANDAMAN MOTORS PRIVATE LIMITED.,Andaman and Nicobar Islands,sajid@andamanmotors.com
83,DHEERAJ MOTOR PRIVATE LIMITED,Andaman and Nicobar Islands,lawflo@gmail.com
84,PREETA CARS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,preetacarsindiapltd@gmail.com
85,COASTAL SEAWAYS (ISLAND) PRIVATE LIMITED,Andaman and Nicobar Islands,coastalcruise@ymail.com
86,OM SAI RAM PACKERS & MOVERS PRIVATE LIMITED (OPC),Andaman and Nicobar Islands,
87,MOHAN AUTOMOTIVES PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
88,GOVINDAMMA TRADING CO PRIVATE LIMITED,Andaman and Nicobar Islands,gdmyamaha@yahoo.co.in
89,ANDAMAN & NICOBAR TECHNOLOGY LAB PRIVATE LIMITED,Andaman and Nicobar Islands,nadeemixz@gmail.com
90,AHAAN AUTOMOBILES (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
91,GENNEXT HEAVY EQUIPMENTS (ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
92,NEXT GEN AUTOMOBILES PRIVATE LIMITED,Andaman and Nicobar Islands,vinodca@hotmail.com
93,CHANAKYA CONSULTANCY SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,ca.patel@vlp.co.in
94,RATHINA VINAYAKAR METALS PRIVATE LIMITED,Andaman and Nicobar Islands,NANDUNANDY2012@GMAIL.COM
95,ARYAN AQUA (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
96,ICY SPICY ICE CREAM PRIVATE LIMITED,Andaman and Nicobar Islands,rajeshbagla@gmail.com
97,JEHOVAN MARINE EXPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,jsmarineseafoods@gmail.com
98,ICY SPICY FOODS PRIVATE LIMITED,Andaman and Nicobar Islands,legal@icyspicy.in
99,BLAIR FOOD PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,UMANG@ICYSPICY.IN
100,CALCUTTA FOOD AND BOTTLING PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
101,ECOGEN CRYSTALLINE WATER PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
102,A & N INDIA MARKETING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,mca.samrat@rediffmail.com
103,KARAN TRADING (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,pearlanil@rediffmail.com
104,VENKATESHWARA HARDWARE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
105,AKR FRESH VEG & FROZEN FOODS PRIVATE LIMITED,Andaman and Nicobar Islands,abdulkani6441@gmail.com
106,MOUNTAIN EDGE TOURS AND HOLIDAYS PRIVATE LIMITED,Andaman and Nicobar Islands,mountainedgepb@gmail.com
107,AGENCY HOUSE (A&N ISLANDS) PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca.efile@gmail.com
108,DE MEADOWS (ANDAMANS) RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
109,NELLAIH FEEDS PRIVATE LIMITED,Andaman and Nicobar Islands,RAVICHANDRANSCA@YAHOO.COM
110,ABLE TOURISM (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,nadeemixz@gmail.com
111,PETROFICIENT ENGINEERING SOLUTIONS LIMITED,Andaman and Nicobar Islands,aktport@gmail.com
112,NANDA AGENCY HOUSE SHIPPING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,agencypbl@gmail.com
113,OCEAN REEFS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,s1982m1983@gmail.com
114,CHAKRABORTY MULTI-SPECIALITY HOSPITAL PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
115,ROYAL PETROLEUM (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,ZUBI.BEGUM@GMAIL.COM
116,ANDAMAN SAFARIS PRIVATE LIMITED,Andaman and Nicobar Islands,AJAYKANDAMAN@GMAIL.COM
117,GO COOL NEXT GEN PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
118,FEEL GOOD VENTURE PRIVATE LIMITED,Andaman and Nicobar Islands,roc.cassatya@gmail.com
119,AKSPEARLS PRIVATE LIMITED,Andaman and Nicobar Islands,AJAISONKAR@GMAIL.COM
120,SIVASELVAM STORES PRIVATE LIMITED,Andaman and Nicobar Islands,caravichandrans@gmail.com
121,K P TRADING & COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
122,STUDENTS STORES PRIVATE LIMITED,Andaman and Nicobar Islands,
123,SEA BAY TRADELINKS PRIVATE LIMITED,Andaman and Nicobar Islands,balaji_kanneganti@rediffmail.com
124,JADWET TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,mhjadwet@hotmail.com
125,R.AKOOJI JADWET AND COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
126,SILVER SKY ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
127,PRINCE STORES (TRADING) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
128,SAKTHI HARDWARES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
129,SELVAM STORE PRIVATE LIMITED,Andaman and Nicobar Islands,selvam8167@gmail.com
130,ISLANDERS MARGIN FREE CANTEEN PRIVATE LIMITED,Andaman and Nicobar Islands,imfcandaman@gmail.com
131,LONSIM HARDWARES PRIVATE LIMITED,Andaman and Nicobar Islands,sblmakeinindia@gmail.com
132,KANCHIPURAM SABTHAGIRI SILKS SAREES PRIVATE LIMITED,Andaman and Nicobar Islands,sabthgirisilks@gmail.com
133,VCARE DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
134,DIGITAL ARTS TECHNOLOGIES PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
135,ROYAL DIGITAL PRINTER PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
136,SRI MAKAABHA PAPER PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,karthik.katty9@gmail.com
137,ANDAMAN AND NICOBAR PUBLISHERS PRIVATE LIMITED,Andaman and Nicobar Islands,
138,GEZIRA PUBLICATIONS PRIVATE LIMITED,Andaman and Nicobar Islands,
139,GATEWAY PRODUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
140,KRG PUBLICATIONS PRIVATE LIMITED,Andaman and Nicobar Islands,krgprivatelimited@gmail.com
141,ANI NEWS AND ADVERTISING AGENCY PRIVATE LIMITED,Andaman and Nicobar Islands,JOHN09434288588@GMAIL.COM
142,ISLAND RE-ROLLING MILLS PRIVATE LIMITED,Andaman and Nicobar Islands,
143,WESTERN STEEL CONSTRUCTION PRIVATE LIMITED.,Andaman and Nicobar Islands,
144,SURYADWEEP ISPAT UDHYOG PRIVATE LIMITED,Andaman and Nicobar Islands,
145,ANDAMAN ENGINEERING & PETROLEUM AGENCIES PRIVATE LIMITED,Andaman and Nicobar Islands,
146,ANDAMAN & NICOBAR FINANCE & INVESTMENT PRIVATE LIMITED,Andaman and Nicobar Islands,bikashdas17021973@gmail.com
147,APNAR FINANCE AND CONSULTANTS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,
148,ANDAMAN OVERSEAS FINVEST PRIVATE LIMITED,Andaman and Nicobar Islands,
149,L M STAR AUTOTRADE PRIVATE LIMITED,Andaman and Nicobar Islands,murugang1978@gmail.com
150,ANDAMAN PROPERTIES PRIVATE LIMITED,Andaman and Nicobar Islands,mhjadwet@hotmail.com
151,MOHAN SINGH INFRASTRUCTURE(INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
152,AROCKIA MADHA PROPERTIES & CONSTRUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
153,FLYWHEEL REALTY PRIVATE LIMITED,Andaman and Nicobar Islands,NVSABITH@GMAIL.COM
154,KEC PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,chadhakailash25@gmail.com
155,ASANS PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
156,ISLAND GATEWAY PROPERTY DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
157,SWAMY VINAYAGAR REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,GDURAISWAMY.DSC@GMAIL.COM
158,LUCKY HOME REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,ajay500capitaltandt@gmail.com
159,HANIF INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,hanif.hanif755@gmail.com
160,TOTTOCRAFT TECHNOLOGIES PRIVATE LIMITED,Andaman and Nicobar Islands,roy.swapnesh@gmail.com
161,GKR TECHSOFT PRIVATE LIMITED,Andaman and Nicobar Islands,gkrtechnology@gmail.com
162,DIVYANGA TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
163,SUNNY POWER TECH PRIVATE LIMITED,Andaman and Nicobar Islands,satya_ani@sify.com
164,ANDAMAN WATERS PRIVATE LIMITED,Andaman and Nicobar Islands,captvenkat@gmail.com
165,RCS INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
166,MALIK INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
167,BHARAT MULTITECH INDUSTRIES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
168,AYUSH JOTI BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
169,MADURAI MEENAKSHI CONSTRUCTION (INDIA)PRIVATE LIMITED,Andaman and Nicobar Islands,MAILVLP@AOL.COM
170,ARASI PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
171,SAKTHI BUILDERS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
172,S K S & DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
173,PRASHANTH ERECTOR AND BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
174,LEMON HOUSING PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
175,ARQ PROPERTIES PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
176,CSE CONSTRUCTION (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,group_engineers@rediffmail.com
177,ANDAMAN & NICOBAR MICRO FINANCE CONSULTANCY LIMITED,Andaman and Nicobar Islands,bikashdas17021973@gmail.com
178,OUR CLCTODAY PRIVATE LIMITED,Andaman and Nicobar Islands,razakhan336@gmail.com
179,SKIER PROPERTIES DEVELOPER PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
180,LOKENATH INFRA DEVELOPER PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
181,PRASHANTH CONSTRUCTIONS AND ENGINEERING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,
182,G.R. REAL ESTATES PRIVATE LIMITED,Andaman and Nicobar Islands,
183,S.H. REALTORS PRIVATE LIMITED,Andaman and Nicobar Islands,cababubadat@gmail.com
184,LOKENATH REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
185,A G P CONSTRUCTIONS COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
186,KAMPS PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,kampspbl@yahoo.com
187,ANDAMAN NIRMAN PRIVATE LIMITED,Andaman and Nicobar Islands,sriomtraders@rediffmail.com
188,HITECH CIVIL ENGINEERS PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca@yahoo.com
189,ISLAND REALCON INDIA PRIVATE LIMITED,Andaman and Nicobar Islands,islandrealcon@gmail.com
190,ARUL EARTH MOVERS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
191,SALCON INFRA ENGINEERING PRIVATE LIMITED,Andaman and Nicobar Islands,saluja_sharnjit@rediffmail.com
192,JAYA REALTORS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
193,Z KING GLOBAL REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
194,R G T CITY REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
195,SHIKSHA CONTRACTORS AND TRADERS PRIVATE LIMITED,Andaman and Nicobar Islands,MAIL2DHARVINDER@GMAIL.COM
196,VISTARAN DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,VISTARANDEVELOPERS@GMAIL.COM
197,ANDAMAN TECHNO VISION PRIVATE LIMITED,Andaman and Nicobar Islands,
198,EPAY COMPUTER SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@vlp.co.in
199,M N V INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,CA.PATEL@VLP.CO.IN
200,MANICKAM PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
201,S K SHAKTI BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,MAILVLP@AOL.COM
202,GCVD INFRATECH PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
203,AL VIJAY INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
204,R.M SATTAIAPPAN CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
205,M SUBRAMANIAM ENGINEERING PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
206,P SURYA RAO CONSTRUCTION (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,CA.PATEL@VLP.CO.IN
207,ANID PROJECTS LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
208,LALL INFRASTRUCTURES PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
209,C M ROY CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,cmroycontractor@yahoo.com
210,MANICKAM CONSTRUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
211,RAVI REALCON PRIVATE LIMITED,Andaman and Nicobar Islands,ravirealconpltd@gmail.com
212,ISLANDER HOUSING PROJECT PRIVATE LIMITED,Andaman and Nicobar Islands,imfchousing@gmail.com
213,BISWORTH CONSTRUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,abhishekbiswas454@gmail.com
214,ANIIDA DEVELOPERS AND PROMOTERS PRIVATE LIMITED,Andaman and Nicobar Islands,ANNIIDAPVTLTD@GMAIL.COM
215,CUSP DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,roseminegroup@gmail.com
216,VDR BLUE METAL PRIVATE LIMITED,Andaman and Nicobar Islands,dscindia3@gmail.com
217,AKABEA INFRASTRUCTURES PRIVATE LIMITED,Andaman and Nicobar Islands,javed@akabea.com
218,ANDAMAN BUILDSMORE PRIVATE LIMITED,Andaman and Nicobar Islands,contact@tttrading.in
219,SWATHI ANDAMAN INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,vivekmanian2015@gmail.com
220,HOTEL BLUE LAGOON(ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
221,S L PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
222,GST CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
223,SRILEKSHMIVIHAR PROPERTIES PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
224,K C M BUILDERS AND CONSTRUCTIONS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
225,S P SHUKLA BUILDERS AND CONTRACTORS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
226,MM KAILASH CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,chadhakailash25@gmail.com
227,P.G EAPPEN CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,pgeappen08@gmail.com
228,MSM TECHNO PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca.efile@gmail.com
229,TEJA PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
230,A T SHANMUGAM CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,athi2683@gmail.com
231,M.R.L BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,krishna.mrl@hotmail.com
232,PARIVAAR S. R. PRIVATE LIMITED,Andaman and Nicobar Islands,sandipbiswas20082@gmail.com
233,ARQ ADVERTISING PRIVATE LIMITED,Andaman and Nicobar Islands,bharatvermas@yahoo.com
234,NEXT GENERATION RETAIL PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
235,E.M.JADWET & COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,
236,IMPERIAL AGENCIES PRIVATE LIMITED,Andaman and Nicobar Islands,akayes123@gmail.com
237,SARKAR AGENCY PRIVATE LIMITED,Andaman and Nicobar Islands,
238,EMERALD MARKETING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,fyjgroup@hotmail.com
239,E CAVE SHOPEE PRIVATE LIMITED,Andaman and Nicobar Islands,cavineetdixit@gmail.com
240,FY TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,jadwet@hotmail.com
241,MEGAPODE TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,softech_computers@rediffmail.com
242,G.S.K.P STORES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
243,S.L ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
244,KRONE ELECTRONICS PRIVATE LIMITED,Andaman and Nicobar Islands,
