,Unnamed: 0,COMPANY_NAME,REGISTERED_STATE,EMAIL_ADDR
41,41,PRINCE HOLIDAY INN PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
42,42,BAY WATCH HOTEL & RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,dabayinnandaman@rediffmail.com
43,43,BLUE GREEN BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
44,44,BLUE GREEN VENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,chendooran.pathmanathan@gmail.com
45,45,FALCON RESORT (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
46,46,JADWET RESORTS AND LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
47,47,MANSHA HOSPITALITY AND SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
48,48,AKABEA RESORTS AND LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,javed.khan@msn.com
49,49,WHITE CORAL BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
51,51,HOTEL BLUE WAVES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
52,52,ROYAL RESORTS & LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
53,53,WOODQUARTER RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,susheeldixit63@gmail.com
54,54,SLR HOSPITALITY (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,andamanleisure@gmail.com
55,55,EMERALD GECKO(ANDAMANS) RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
56,56,JOYE GRAND HOTEL PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
58,58,JADWET HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
59,59,SUDHARSHAN ECO FRIENDLY RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
60,60,HAVELOCK COCONUT LEISURE RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,ajitroykr@gmail.com
61,61,LUSH GREEN ISLAND RESORTS AND TRADE PRIVATE LIMITED,Andaman and Nicobar Islands,pkentp@yahoo.co.in
62,62,SEA STAR BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
63,63,COCONHUTS (ANDAMAN) BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
64,64,ANDAMAN RAMTULSI PRIVATE LIMITED,Andaman and Nicobar Islands,tamaraiselvi9@gmail.com
65,65,HAYWIZZ ELITE HAVELOCK ISLAND RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,haywizzelite@gmail.com
66,66,MANIKA VINAYAGAR HOTEL PRIVATE LIMITED,Andaman and Nicobar Islands,sentnin14680@gmail.com
67,67,SRI PONNU SWAMY ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,anburamu1988@gmail.com
68,68,ATOMIUM HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,nirapada321@gmail.com
69,69,ANDAMANS PACKERS AND MOVERS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
71,71,AMMAN POULTRY AND FEEDS PRIVATE LIMITED,Andaman and Nicobar Islands,murugang1978@gmail.com
72,72,ISLAND ORGANIC PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,andamancpc@gmail.com
73,73,MAYABUNDER AGRICULTURAL PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,jayantanagbod@gmail.com
77,77,APIARY PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,andamancpc@gmail.com
78,78,OCEANIC AGRO TECH PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
79,79,VINOTH FEEDS AND POULTRY PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
80,80,ILANCE DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,d.umailme@rediffrnail.com
81,81,GENNEXT MOTORS(ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
82,82,ANDAMAN MOTORS PRIVATE LIMITED.,Andaman and Nicobar Islands,sajid@andamanmotors.com
83,83,DHEERAJ MOTOR PRIVATE LIMITED,Andaman and Nicobar Islands,lawflo@gmail.com
84,84,PREETA CARS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,preetacarsindiapltd@gmail.com
85,85,COASTAL SEAWAYS (ISLAND) PRIVATE LIMITED,Andaman and Nicobar Islands,coastalcruise@ymail.com
87,87,MOHAN AUTOMOTIVES PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
88,88,GOVINDAMMA TRADING CO PRIVATE LIMITED,Andaman and Nicobar Islands,gdmyamaha@yahoo.co.in
89,89,ANDAMAN & NICOBAR TECHNOLOGY LAB PRIVATE LIMITED,Andaman and Nicobar Islands,nadeemixz@gmail.com
90,90,AHAAN AUTOMOBILES (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
91,91,GENNEXT HEAVY EQUIPMENTS (ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
92,92,NEXT GEN AUTOMOBILES PRIVATE LIMITED,Andaman and Nicobar Islands,vinodca@hotmail.com
93,93,CHANAKYA CONSULTANCY SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,ca.patel@vlp.co.in
94,94,RATHINA VINAYAKAR METALS PRIVATE LIMITED,Andaman and Nicobar Islands,nandunandy2012@gmail.com
95,95,ARYAN AQUA (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
96,96,ICY SPICY ICE CREAM PRIVATE LIMITED,Andaman and Nicobar Islands,rajeshbagla@gmail.com
97,97,JEHOVAN MARINE EXPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,jsmarineseafoods@gmail.com
98,98,ICY SPICY FOODS PRIVATE LIMITED,Andaman and Nicobar Islands,legal@icyspicy.in
99,99,BLAIR FOOD PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,umang@icyspicy.in
100,100,CALCUTTA FOOD AND BOTTLING PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
101,101,ECOGEN CRYSTALLINE WATER PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
102,102,A & N INDIA MARKETING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,mca.samrat@rediffmail.com
103,103,KARAN TRADING (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,pearlanil@rediffmail.com
104,104,VENKATESHWARA HARDWARE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
105,105,AKR FRESH VEG & FROZEN FOODS PRIVATE LIMITED,Andaman and Nicobar Islands,abdulkani6441@gmail.com
106,106,MOUNTAIN EDGE TOURS AND HOLIDAYS PRIVATE LIMITED,Andaman and Nicobar Islands,mountainedgepb@gmail.com
107,107,AGENCY HOUSE (A&N ISLANDS) PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca.efile@gmail.com
108,108,DE MEADOWS (ANDAMANS) RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
109,109,NELLAIH FEEDS PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca@yahoo.com
110,110,ABLE TOURISM (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,nadeemixz@gmail.com
111,111,PETROFICIENT ENGINEERING SOLUTIONS LIMITED,Andaman and Nicobar Islands,aktport@gmail.com
112,112,NANDA AGENCY HOUSE SHIPPING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,agencypbl@gmail.com
113,113,OCEAN REEFS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,s1982m1983@gmail.com
114,114,CHAKRABORTY MULTI-SPECIALITY HOSPITAL PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
115,115,ROYAL PETROLEUM (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,zubi.begum@gmail.com
116,116,ANDAMAN SAFARIS PRIVATE LIMITED,Andaman and Nicobar Islands,ajaykandaman@gmail.com
117,117,GO COOL NEXT GEN PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
118,118,FEEL GOOD VENTURE PRIVATE LIMITED,Andaman and Nicobar Islands,roc.cassatya@gmail.com
119,119,AKSPEARLS PRIVATE LIMITED,Andaman and Nicobar Islands,ajaisonkar@gmail.com
120,120,SIVASELVAM STORES PRIVATE LIMITED,Andaman and Nicobar Islands,caravichandrans@gmail.com
121,121,K P TRADING & COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
124,124,JADWET TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,mhjadwet@hotmail.com
125,125,R.AKOOJI JADWET AND COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
126,126,SILVER SKY ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
127,127,PRINCE STORES (TRADING) PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
128,128,SAKTHI HARDWARES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
129,129,SELVAM STORE PRIVATE LIMITED,Andaman and Nicobar Islands,selvam8167@gmail.com
130,130,ISLANDERS MARGIN FREE CANTEEN PRIVATE LIMITED,Andaman and Nicobar Islands,imfcandaman@gmail.com
131,131,LONSIM HARDWARES PRIVATE LIMITED,Andaman and Nicobar Islands,sblmakeinindia@gmail.com
132,132,KANCHIPURAM SABTHAGIRI SILKS SAREES PRIVATE LIMITED,Andaman and Nicobar Islands,sabthgirisilks@gmail.com
133,133,VCARE DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
134,134,DIGITAL ARTS TECHNOLOGIES PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
135,135,ROYAL DIGITAL PRINTER PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
139,139,GATEWAY PRODUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
140,140,KRG PUBLICATIONS PRIVATE LIMITED,Andaman and Nicobar Islands,krgprivatelimited@gmail.com
141,141,ANI NEWS AND ADVERTISING AGENCY PRIVATE LIMITED,Andaman and Nicobar Islands,john09434288588@gmail.com
146,146,ANDAMAN & NICOBAR FINANCE & INVESTMENT PRIVATE LIMITED,Andaman and Nicobar Islands,bikashdas17021973@gmail.com
149,149,L M STAR AUTOTRADE PRIVATE LIMITED,Andaman and Nicobar Islands,murugang1978@gmail.com
150,150,ANDAMAN PROPERTIES PRIVATE LIMITED,Andaman and Nicobar Islands,mhjadwet@hotmail.com
151,151,MOHAN SINGH INFRASTRUCTURE(INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
152,152,AROCKIA MADHA PROPERTIES & CONSTRUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
153,153,FLYWHEEL REALTY PRIVATE LIMITED,Andaman and Nicobar Islands,nvsabith@gmail.com
154,154,KEC PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,chadhakailash25@gmail.com
155,155,ASANS PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
156,156,ISLAND GATEWAY PROPERTY DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
157,157,SWAMY VINAYAGAR REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,gduraiswamy.dsc@gmail.com
158,158,LUCKY HOME REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,ajay500capitaltandt@gmail.com
160,160,TOTTOCRAFT TECHNOLOGIES PRIVATE LIMITED,Andaman and Nicobar Islands,roy.swapnesh@gmail.com
161,161,GKR TECHSOFT PRIVATE LIMITED,Andaman and Nicobar Islands,gkrtechnology@gmail.com
162,162,DIVYANGA TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
164,164,ANDAMAN WATERS PRIVATE LIMITED,Andaman and Nicobar Islands,captvenkat@gmail.com
165,165,RCS INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
166,166,MALIK INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
167,167,BHARAT MULTITECH INDUSTRIES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
168,168,AYUSH JOTI BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
169,169,MADURAI MEENAKSHI CONSTRUCTION (INDIA)PRIVATE LIMITED,Andaman and Nicobar Islands,mailvlp@aol.com
170,170,ARASI PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
171,171,SAKTHI BUILDERS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
172,172,S K S & DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
173,173,PRASHANTH ERECTOR AND BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
174,174,LEMON HOUSING PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
175,175,ARQ PROPERTIES PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
177,177,ANDAMAN & NICOBAR MICRO FINANCE CONSULTANCY LIMITED,Andaman and Nicobar Islands,bikashdas17021973@gmail.com
178,178,OUR CLCTODAY PRIVATE LIMITED,Andaman and Nicobar Islands,razakhan336@gmail.com
179,179,SKIER PROPERTIES DEVELOPER PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
180,180,LOKENATH INFRA DEVELOPER PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
183,183,S.H. REALTORS PRIVATE LIMITED,Andaman and Nicobar Islands,cababubadat@gmail.com
184,184,LOKENATH REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
185,185,A G P CONSTRUCTIONS COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
186,186,KAMPS PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,kampspbl@yahoo.com
187,187,ANDAMAN NIRMAN PRIVATE LIMITED,Andaman and Nicobar Islands,sriomtraders@rediffmail.com
188,188,HITECH CIVIL ENGINEERS PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca@yahoo.com
189,189,ISLAND REALCON INDIA PRIVATE LIMITED,Andaman and Nicobar Islands,islandrealcon@gmail.com
190,190,ARUL EARTH MOVERS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
192,192,JAYA REALTORS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
193,193,Z KING GLOBAL REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
194,194,R G T CITY REAL ESTATE PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
195,195,SHIKSHA CONTRACTORS AND TRADERS PRIVATE LIMITED,Andaman and Nicobar Islands,mail2dharvinder@gmail.com
196,196,VISTARAN DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,vistarandevelopers@gmail.com
198,198,EPAY COMPUTER SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
199,199,M N V INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ca.patel@vlp.co.in
200,200,MANICKAM PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
201,201,S K SHAKTI BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,mailvlp@aol.com
202,202,GCVD INFRATECH PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
203,203,AL VIJAY INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
204,204,R.M SATTAIAPPAN CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
205,205,M SUBRAMANIAM ENGINEERING PRIVATE LIMITED,Andaman and Nicobar Islands,roc.casatya@gmail.com
206,206,P SURYA RAO CONSTRUCTION (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ca.patel@vlp.co.in
207,207,ANID PROJECTS LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
208,208,LALL INFRASTRUCTURES PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
209,209,C M ROY CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,cmroycontractor@yahoo.com
210,210,MANICKAM CONSTRUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
211,211,RAVI REALCON PRIVATE LIMITED,Andaman and Nicobar Islands,ravirealconpltd@gmail.com
212,212,ISLANDER HOUSING PROJECT PRIVATE LIMITED,Andaman and Nicobar Islands,imfchousing@gmail.com
213,213,BISWORTH CONSTRUCTIONS PRIVATE LIMITED,Andaman and Nicobar Islands,abhishekbiswas454@gmail.com
214,214,ANIIDA DEVELOPERS AND PROMOTERS PRIVATE LIMITED,Andaman and Nicobar Islands,anniidapvtltd@gmail.com
215,215,CUSP DEVELOPERS PRIVATE LIMITED,Andaman and Nicobar Islands,roseminegroup@gmail.com
216,216,VDR BLUE METAL PRIVATE LIMITED,Andaman and Nicobar Islands,dscindia3@gmail.com
217,217,AKABEA INFRASTRUCTURES PRIVATE LIMITED,Andaman and Nicobar Islands,javed@akabea.com
218,218,ANDAMAN BUILDSMORE PRIVATE LIMITED,Andaman and Nicobar Islands,contact@tttrading.in
219,219,SWATHI ANDAMAN INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,vivekmanian2015@gmail.com
220,220,HOTEL BLUE LAGOON(ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
221,221,S L PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
222,222,GST CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
223,223,SRILEKSHMIVIHAR PROPERTIES PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
224,224,K C M BUILDERS AND CONSTRUCTIONS (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
225,225,S P SHUKLA BUILDERS AND CONTRACTORS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
226,226,MM KAILASH CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,chadhakailash25@gmail.com
227,227,P.G EAPPEN CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,pgeappen08@gmail.com
228,228,MSM TECHNO PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,ravichandransca.efile@gmail.com
229,229,TEJA PROJECTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
230,230,A T SHANMUGAM CONSTRUCTION PRIVATE LIMITED,Andaman and Nicobar Islands,athi2683@gmail.com
231,231,M.R.L BUILDERS PRIVATE LIMITED,Andaman and Nicobar Islands,krishna.mrl@hotmail.com
232,232,PARIVAAR S. R. PRIVATE LIMITED,Andaman and Nicobar Islands,sandipbiswas20082@gmail.com
233,233,ARQ ADVERTISING PRIVATE LIMITED,Andaman and Nicobar Islands,bharatvermas@yahoo.com
234,234,NEXT GENERATION RETAIL PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
236,236,IMPERIAL AGENCIES PRIVATE LIMITED,Andaman and Nicobar Islands,akayes123@gmail.com
238,238,EMERALD MARKETING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,fyjgroup@hotmail.com
239,239,E CAVE SHOPEE PRIVATE LIMITED,Andaman and Nicobar Islands,cavineetdixit@gmail.com
240,240,FY TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,jadwet@hotmail.com
242,242,G.S.K.P STORES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
243,243,S.L ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
246,246,ANDAMAN COMPUTERS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
249,249,RAHMAT TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.coin
250,250,K.DORAISWAMY TRADING CO.PRIVATE LIMITED,Andaman and Nicobar Islands,pblktco@bsnl.in
251,251,SRI KRISHNAVENI TRADING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,pblktco@sancharnet.in
252,252,VISION ADVERTISING PRIVATE LIMITED,Andaman and Nicobar Islands,efile.casatya@gmail.com
253,253,ZAM SECURITIES PRIVATE LIMITED,Andaman and Nicobar Islands,ihbadat@gmail.com
254,254,ANDAMAN CLUB PRIVATE LIMITED,Andaman and Nicobar Islands,arorapb@gmail.com
255,255,GENEX RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,skynetfm@live.com
256,256,TALK AND TRIP MARKETING PRIVATE LIMITED,Andaman and Nicobar Islands,vinaykhannadiamond@gmail.com
259,259,ANDAMAN AND NICOBAR ISLANDS INTEGRATED DEVELOPMENT CORPORATION LIMITED.,Andaman and Nicobar Islands,aniidco@gmail.com
260,260,KRISHPRATAP PLACEMENT SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,kuldeep.portblair@rediffmail.com
261,261,VANGUARD SHIPPING SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,ganesh1278@gamil.com
263,263,BEST FOR YOU GOOD APPLIANCES PRIVATE LIMITED,Andaman and Nicobar Islands,mca@bmcgroup.in
265,265,DAAM UDYOG INDIA PRIVATE LIMITED,Andaman and Nicobar Islands,saidheerajsingh@gmail.com
266,266,MU STUDIOS PRIVATE LIMITED,Andaman and Nicobar Islands,nmkathiravan@gmail.com
267,267,OASIS PLAZA PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
268,268,MARUDHU PANDIYAN SECURITY & FACILITY MANAGEMENT SERVICE PRIVATE LIMITED (OPC),Andaman and Nicobar Islands,rajendranpalaniappan@rediffmail.com
269,269,ANDAMAN LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
270,270,KITE INFRATECH PRIVATE LIMITED,Andaman and Nicobar Islands,prasanna1970@gmail.com
271,271,DEEP SEA RESORT (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
272,272,HOLIDAY 2 ANDAMAN CORPORATE AND LEISURE TRAVELS PRIVATE LIMITED,Andaman and Nicobar Islands,holiday2andaman@gmail.com
274,274,ANDAMAN SEA WONDERS PRIVATE LIMITED,Andaman and Nicobar Islands,smjavedjafrin@gmail.com
275,275,SAFECRACKERS TRAVEL AND EXCURSIONS INDIA (OPC) PRIVATE LIMITED,Andaman and Nicobar Islands,karteek.tarun@gmail.com
276,276,ENCHANTING ANDAMANS TOUR (OPC) PRIVATE LIMITED,Andaman and Nicobar Islands,reachandamans@gmail.com
277,277,VERTIGO INFRASTRUCTURE PRIVATE LIMITED,Andaman and Nicobar Islands,surajselvam25@gmail.com
